COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,SUM_FRQ_ALW
5011,0.094,0.102,0.175,0.184,0.445,0.629
5013,0.145,0.132,0.108,0.211,0.404,0.615
5015,0.111,0.068,0.115,0.129,0.577,0.706
5017,0.104,0.074,0.193,0.097,0.531,0.628
5019,0.08,0.091,0.08,0.231,0.518,0.749
5021,0.082,0.124,0.157,0.242,0.395,0.637
5023,0.036,0.065,0.093,0.259,0.546,0.805
5025,0.107,0.03,0.16,0.231,0.472,0.703
5027,0.241,0.072,0.054,0.25,0.383,0.633
5029,0.071,0.12,0.137,0.347,0.325,0.672
5031,0.078,0.123,0.138,0.341,0.32,0.661
5033,0.155,0.1,0.167,0.211,0.367,0.578
5035,0.059,0.017,0.11,0.306,0.508,0.814
5037,0.097,0.017,0.163,0.319,0.404,0.723
5039,0.197,0.055,0.093,0.196,0.459,0.655
5041,0.078,0.033,0.19,0.189,0.509,0.698
5043,0.063,0.049,0.207,0.159,0.523,0.682
5045,0.066,0.027,0.077,0.403,0.426,0.829
5047,0.149,0.079,0.245,0.187,0.34,0.527
5049,0.105,0.121,0.226,0.197,0.351,0.548
5051,0.025,0.102,0.068,0.21,0.596,0.806
5053,0.082,0.043,0.127,0.258,0.489,0.747
5055,0.062,0.141,0.154,0.346,0.297,0.643
5057,0.098,0.073,0.096,0.179,0.554,0.733
5059,0.059,0.086,0.079,0.216,0.56,0.776
5061,0.081,0.07,0.145,0.145,0.56,0.705
5063,0.137,0.156,0.088,0.179,0.44,0.619
5065,0.086,0.121,0.133,0.23,0.43,0.66
5067,0.116,0.103,0.135,0.179,0.468,0.647
5069,0.042,0.036,0.172,0.173,0.577,0.75
5071,0.144,0.103,0.205,0.221,0.328,0.549
5073,0.12,0.082,0.078,0.234,0.486,0.72
5075,0.085,0.128,0.153,0.298,0.337,0.635
5077,0.103,0.032,0.195,0.263,0.407,0.67
5079,0.035,0.016,0.194,0.201,0.554,0.755
5081,0.074,0.121,0.106,0.201,0.499,0.7
5083,0.148,0.11,0.12,0.143,0.479,0.622
5085,0.048,0.045,0.136,0.297,0.474,0.771
5087,0.075,0.088,0.159,0.114,0.564,0.678
5089,0.171,0.112,0.119,0.108,0.49,0.598
5091,0.064,0.124,0.106,0.219,0.487,0.706
5093,0.033,0.109,0.134,0.284,0.44,0.724
5095,0.068,0.128,0.127,0.271,0.406,0.677
5097,0.081,0.095,0.136,0.166,0.521,0.687
5099,0.143,0.048,0.084,0.224,0.501,0.725
5101,0.107,0.14,0.084,0.261,0.408,0.669
5103,0.151,0.097,0.06,0.242,0.449,0.691
5105,0.098,0.051,0.08,0.367,0.404,0.771
5107,0.052,0.061,0.134,0.276,0.477,0.753
5109,0.064,0.061,0.2,0.176,0.501,0.677
5111,0.077,0.098,0.141,0.287,0.397,0.684
5113,0.18,0.08,0.217,0.076,0.446,0.522
5115,0.082,0.151,0.181,0.285,0.302,0.587
5117,0.062,0.17,0.103,0.273,0.391,0.664
5119,0.028,0.027,0.126,0.175,0.644,0.819
5121,0.051,0.145,0.203,0.289,0.311,0.6
5123,0.087,0.007,0.289,0.267,0.35,0.617
5125,0.066,0.044,0.154,0.212,0.524,0.736
5127,0.155,0.14,0.124,0.123,0.458,0.581
5129,0.1,0.088,0.125,0.149,0.538,0.687
5131,0.121,0.142,0.157,0.208,0.372,0.58
5133,0.12,0.093,0.155,0.165,0.467,0.632
5135,0.067,0.158,0.22,0.222,0.333,0.555
5137,0.067,0.092,0.11,0.234,0.498,0.732
5139,0.116,0.179,0.098,0.262,0.344,0.606
5141,0.033,0.06,0.096,0.272,0.539,0.811
5143,0.034,0.028,0.101,0.186,0.651,0.837
5145,0.026,0.054,0.152,0.277,0.491,0.768
5147,0.059,0.048,0.208,0.231,0.454,0.685
5149,0.116,0.1,0.112,0.198,0.474,0.672
6001,0.019,0.008,0.055,0.123,0.795,0.918
6003,0.025,0.085,0.088,0.19,0.612,0.802
6005,0.045,0.013,0.099,0.188,0.655,0.843
6007,0.015,0.043,0.111,0.204,0.626,0.83
6009,0.045,0.019,0.098,0.276,0.562,0.838
6011,0.027,0.031,0.092,0.151,0.7,0.851
6013,0.018,0.016,0.039,0.121,0.806,0.927
6015,0.01,0.135,0.112,0.196,0.547,0.743
6017,0.028,0.042,0.072,0.183,0.675,0.858
6019,0.021,0.022,0.059,0.156,0.741,0.897
6021,0.028,0.026,0.146,0.206,0.594,0.8
6023,0.042,0.006,0.018,0.069,0.865,0.934
6025,0.001,0.005,0.03,0.128,0.836,0.964
6027,0.033,0.011,0.008,0.058,0.889,0.947
6029,0.022,0.028,0.105,0.177,0.668,0.845
6031,0.075,0.016,0.049,0.094,0.766,0.86
6033,0.003,0.004,0.007,0.136,0.849,0.985
6035,0.064,0.068,0.162,0.225,0.482,0.707
6037,0.021,0.013,0.049,0.131,0.786,0.917
6039,0.019,0.059,0.048,0.124,0.751,0.875
6041,0.011,0,0.046,0.141,0.802,0.943
6043,0.01,0.094,0.049,0.186,0.661,0.847
6045,0.002,0.003,0.004,0.222,0.77,0.992
6047,0.026,0.036,0.089,0.146,0.703,0.849
6049,0.068,0.019,0.095,0.204,0.615,0.819
6051,0.011,0.026,0.012,0.07,0.88,0.95
6053,0.023,0.006,0.066,0.141,0.763,0.904
6055,0.017,0.026,0.033,0.149,0.773,0.922
