Distribution_of_claims,Census
442179,CENSUS2010POP
55365,CENSUS2010POP
823318,CENSUS2010POP
200849,CENSUS2010POP
72155,CENSUS2010POP
5029196,CENSUS2010POP
441603,CENSUS2010POP
15445,CENSUS2010POP
572003,CENSUS2010POP
12084,CENSUS2010POP
3788,CENSUS2010POP
6499,CENSUS2010POP
294567,CENSUS2010POP
55889,CENSUS2010POP
17809,CENSUS2010POP
1836,CENSUS2010POP
9088,CENSUS2010POP
8256,CENSUS2010POP
3524,CENSUS2010POP
5823,CENSUS2010POP
4255,CENSUS2010POP
30952,CENSUS2010POP
600158,CENSUS2010POP
2064,CENSUS2010POP
285465,CENSUS2010POP
52197,CENSUS2010POP
23086,CENSUS2010POP
622263,CENSUS2010POP
46824,CENSUS2010POP
56389,CENSUS2010POP
5441,CENSUS2010POP
14843,CENSUS2010POP
15324,CENSUS2010POP
843,CENSUS2010POP
6711,CENSUS2010POP
1394,CENSUS2010POP
534543,CENSUS2010POP
1398,CENSUS2010POP
8270,CENSUS2010POP
7310,CENSUS2010POP
51334,CENSUS2010POP
299630,CENSUS2010POP
15507,CENSUS2010POP
5467,CENSUS2010POP
22709,CENSUS2010POP
146723,CENSUS2010POP
712,CENSUS2010POP
13795,CENSUS2010POP
25535,CENSUS2010POP
41276,CENSUS2010POP
28159,CENSUS2010POP
18831,CENSUS2010POP
4436,CENSUS2010POP
16206,CENSUS2010POP
4442,CENSUS2010POP
17148,CENSUS2010POP
12551,CENSUS2010POP
159063,CENSUS2010POP
6666,CENSUS2010POP
11982,CENSUS2010POP
23509,CENSUS2010POP
6108,CENSUS2010POP
699,CENSUS2010POP
7359,CENSUS2010POP
2379,CENSUS2010POP
27994,CENSUS2010POP
23350,CENSUS2010POP
4814,CENSUS2010POP
252825,CENSUS2010POP
10043,CENSUS2010POP
3574097,CENSUS2010POP
916829,CENSUS2010POP
894014,CENSUS2010POP
189927,CENSUS2010POP
165676,CENSUS2010POP
862477,CENSUS2010POP
274055,CENSUS2010POP
152691,CENSUS2010POP
118428,CENSUS2010POP
897934,CENSUS2010POP
162310,CENSUS2010POP
538479,CENSUS2010POP
197145,CENSUS2010POP
601723,CENSUS2010POP
601723,CENSUS2010POP
18801310,CENSUS2010POP
247336,CENSUS2010POP
27115,CENSUS2010POP
168852,CENSUS2010POP
28520,CENSUS2010POP
543376,CENSUS2010POP
1748066,CENSUS2010POP
14625,CENSUS2010POP
159978,CENSUS2010POP
141236,CENSUS2010POP
190865,CENSUS2010POP
321520,CENSUS2010POP
67531,CENSUS2010POP
34862,CENSUS2010POP
16422,CENSUS2010POP
864263,CENSUS2010POP
297619,CENSUS2010POP
95696,CENSUS2010POP
11549,CENSUS2010POP
46389,CENSUS2010POP
16939,CENSUS2010POP
12884,CENSUS2010POP
15863,CENSUS2010POP
14799,CENSUS2010POP
27731,CENSUS2010POP
39140,CENSUS2010POP
172778,CENSUS2010POP
98786,CENSUS2010POP
1229226,CENSUS2010POP
19927,CENSUS2010POP
138028,CENSUS2010POP
49746,CENSUS2010POP
14761,CENSUS2010POP
8870,CENSUS2010POP
297052,CENSUS2010POP
618754,CENSUS2010POP
275487,CENSUS2010POP
40801,CENSUS2010POP
8365,CENSUS2010POP
19224,CENSUS2010POP
322833,CENSUS2010POP
331298,CENSUS2010POP
146318,CENSUS2010POP
2496435,CENSUS2010POP
73090,CENSUS2010POP
73314,CENSUS2010POP
180822,CENSUS2010POP
39996,CENSUS2010POP
1145956,CENSUS2010POP
268685,CENSUS2010POP
1320134,CENSUS2010POP
464697,CENSUS2010POP
916542,CENSUS2010POP
602095,CENSUS2010POP
74364,CENSUS2010POP
190039,CENSUS2010POP
277789,CENSUS2010POP
151372,CENSUS2010POP
379448,CENSUS2010POP
422718,CENSUS2010POP
93420,CENSUS2010POP
41551,CENSUS2010POP
22570,CENSUS2010POP
15535,CENSUS2010POP
494593,CENSUS2010POP
30776,CENSUS2010POP
55043,CENSUS2010POP
24896,CENSUS2010POP
9687653,CENSUS2010POP
18236,CENSUS2010POP
8375,CENSUS2010POP
11096,CENSUS2010POP
3451,CENSUS2010POP
45720,CENSUS2010POP
18395,CENSUS2010POP
69367,CENSUS2010POP
100157,CENSUS2010POP
17634,CENSUS2010POP
19286,CENSUS2010POP
155547,CENSUS2010POP
13063,CENSUS2010POP
18411,CENSUS2010POP
16243,CENSUS2010POP
30233,CENSUS2010POP
70217,CENSUS2010POP
23316,CENSUS2010POP
23655,CENSUS2010POP
6694,CENSUS2010POP
50513,CENSUS2010POP
10998,CENSUS2010POP
110527,CENSUS2010POP
63942,CENSUS2010POP
12171,CENSUS2010POP
265128,CENSUS2010POP
11267,CENSUS2010POP
26015,CENSUS2010POP
214346,CENSUS2010POP
116714,CENSUS2010POP
3183,CENSUS2010POP
259424,CENSUS2010POP
6798,CENSUS2010POP
688078,CENSUS2010POP
42356,CENSUS2010POP
45498,CENSUS2010POP
124053,CENSUS2010POP
17212,CENSUS2010POP
127317,CENSUS2010POP
12630,CENSUS2010POP
23439,CENSUS2010POP
16633,CENSUS2010POP
22330,CENSUS2010POP
27842,CENSUS2010POP
691893,CENSUS2010POP
21796,CENSUS2010POP
14918,CENSUS2010POP
94565,CENSUS2010POP
132403,CENSUS2010POP
11008,CENSUS2010POP
4034,CENSUS2010POP
52250,CENSUS2010POP
20166,CENSUS2010POP
22598,CENSUS2010POP
11000,CENSUS2010POP
23682,CENSUS2010POP
106567,CENSUS2010POP
96317,CENSUS2010POP
175511,CENSUS2010POP
22084,CENSUS2010POP
920581,CENSUS2010POP
28292,CENSUS2010POP
3082,CENSUS2010POP
79626,CENSUS2010POP
55186,CENSUS2010POP
25011,CENSUS2010POP
15994,CENSUS2010POP
805321,CENSUS2010POP
43041,CENSUS2010POP
179684,CENSUS2010POP
9429,CENSUS2010POP
28780,CENSUS2010POP
32024,CENSUS2010POP
25213,CENSUS2010POP
11834,CENSUS2010POP
203922,CENSUS2010POP
139900,CENSUS2010POP
9538,CENSUS2010POP
60485,CENSUS2010POP
13900,CENSUS2010POP
15068,CENSUS2010POP
16930,CENSUS2010POP
8340,CENSUS2010POP
9980,CENSUS2010POP
28669,CENSUS2010POP
18317,CENSUS2010POP
10078,CENSUS2010POP
48434,CENSUS2010POP
28298,CENSUS2010POP
63453,CENSUS2010POP
7996,CENSUS2010POP
14464,CENSUS2010POP
109233,CENSUS2010POP
29966,CENSUS2010POP
21875,CENSUS2010POP
14333,CENSUS2010POP
14740,CENSUS2010POP
28120,CENSUS2010POP
8742,CENSUS2010POP
21992,CENSUS2010POP
6125,CENSUS2010POP
23498,CENSUS2010POP
26424,CENSUS2010POP
9123,CENSUS2010POP
17868,CENSUS2010POP
39628,CENSUS2010POP
189885,CENSUS2010POP
99958,CENSUS2010POP
32808,CENSUS2010POP
14899,CENSUS2010POP
142324,CENSUS2010POP
27695,CENSUS2010POP
29431,CENSUS2010POP
18758,CENSUS2010POP
17869,CENSUS2010POP
41475,CENSUS2010POP
12010,CENSUS2010POP
21218,CENSUS2010POP
2513,CENSUS2010POP
16276,CENSUS2010POP
7719,CENSUS2010POP
200549,CENSUS2010POP
85215,CENSUS2010POP
5010,CENSUS2010POP
14593,CENSUS2010POP
8729,CENSUS2010POP
64073,CENSUS2010POP
26175,CENSUS2010POP
6058,CENSUS2010POP
32819,CENSUS2010POP
6865,CENSUS2010POP
1717,CENSUS2010POP
25520,CENSUS2010POP
8906,CENSUS2010POP
16500,CENSUS2010POP
9315,CENSUS2010POP
44720,CENSUS2010POP
40118,CENSUS2010POP
27223,CENSUS2010POP
10471,CENSUS2010POP
6885,CENSUS2010POP
67044,CENSUS2010POP
8930,CENSUS2010POP
9023,CENSUS2010POP
21356,CENSUS2010POP
27153,CENSUS2010POP
68756,CENSUS2010POP
83768,CENSUS2010POP
36312,CENSUS2010POP
5834,CENSUS2010POP
21187,CENSUS2010POP
30099,CENSUS2010POP
2799,CENSUS2010POP
7421,CENSUS2010POP
27144,CENSUS2010POP
102599,CENSUS2010POP
9255,CENSUS2010POP
10593,CENSUS2010POP
9563,CENSUS2010POP
21679,CENSUS2010POP
1360301,CENSUS2010POP
185079,CENSUS2010POP
953207,CENSUS2010POP
90,CENSUS2010POP
67091,CENSUS2010POP
154834,CENSUS2010POP
1567582,CENSUS2010POP
392365,CENSUS2010POP
3976,CENSUS2010POP
82839,CENSUS2010POP
5986,CENSUS2010POP
9285,CENSUS2010POP
45607,CENSUS2010POP
21376,CENSUS2010POP
7028,CENSUS2010POP
40877,CENSUS2010POP
