Distribution_of_claims,Census
16346,CENSUS2010POP
31883,CENSUS2010POP
14193,CENSUS2010POP
58849,CENSUS2010POP
15860,CENSUS2010POP
7887,CENSUS2010POP
11310,CENSUS2010POP
24519,CENSUS2010POP
13870,CENSUS2010POP
24742,CENSUS2010POP
9519,CENSUS2010POP
26835,CENSUS2010POP
8314,CENSUS2010POP
65565,CENSUS2010POP
18306,CENSUS2010POP
9531,CENSUS2010POP
82916,CENSUS2010POP
13333,CENSUS2010POP
19820,CENSUS2010POP
31448,CENSUS2010POP
12929,CENSUS2010POP
17490,CENSUS2010POP
28602,CENSUS2010POP
6306,CENSUS2010POP
21331,CENSUS2010POP
10099,CENSUS2010POP
10963,CENSUS2010POP
26499,CENSUS2010POP
13923,CENSUS2010POP
31499,CENSUS2010POP
43437,CENSUS2010POP
7135,CENSUS2010POP
23842,CENSUS2010POP
60316,CENSUS2010POP
10841,CENSUS2010POP
4755,CENSUS2010POP
14877,CENSUS2010POP
28712,CENSUS2010POP
65024,CENSUS2010POP
12613,CENSUS2010POP
63063,CENSUS2010POP
2282,CENSUS2010POP
17056,CENSUS2010POP
23333,CENSUS2010POP
17565,CENSUS2010POP
47173,CENSUS2010POP
42074,CENSUS2010POP
17327,CENSUS2010POP
17061,CENSUS2010POP
24512,CENSUS2010POP
12460,CENSUS2010POP
14339,CENSUS2010POP
8809,CENSUS2010POP
15007,CENSUS2010POP
113792,CENSUS2010POP
11717,CENSUS2010POP
20813,CENSUS2010POP
13621,CENSUS2010POP
35637,CENSUS2010POP
7355,CENSUS2010POP
24939,CENSUS2010POP
4533372,CENSUS2010POP
61773,CENSUS2010POP
25764,CENSUS2010POP
107215,CENSUS2010POP
23421,CENSUS2010POP
42073,CENSUS2010POP
35654,CENSUS2010POP
14353,CENSUS2010POP
116979,CENSUS2010POP
254969,CENSUS2010POP
192768,CENSUS2010POP
10132,CENSUS2010POP
6839,CENSUS2010POP
10407,CENSUS2010POP
17195,CENSUS2010POP
20822,CENSUS2010POP
26656,CENSUS2010POP
440171,CENSUS2010POP
7759,CENSUS2010POP
20267,CENSUS2010POP
33984,CENSUS2010POP
20767,CENSUS2010POP
22309,CENSUS2010POP
73240,CENSUS2010POP
33387,CENSUS2010POP
16274,CENSUS2010POP
432552,CENSUS2010POP
31594,CENSUS2010POP
221578,CENSUS2010POP
96318,CENSUS2010POP
14890,CENSUS2010POP
46735,CENSUS2010POP
128026,CENSUS2010POP
12093,CENSUS2010POP
27979,CENSUS2010POP
39566,CENSUS2010POP
343829,CENSUS2010POP
153720,CENSUS2010POP
23042,CENSUS2010POP
22802,CENSUS2010POP
131613,CENSUS2010POP
9091,CENSUS2010POP
20725,CENSUS2010POP
24233,CENSUS2010POP
35897,CENSUS2010POP
52780,CENSUS2010POP
11203,CENSUS2010POP
22102,CENSUS2010POP
45924,CENSUS2010POP
83384,CENSUS2010POP
52160,CENSUS2010POP
54650,CENSUS2010POP
233740,CENSUS2010POP
121097,CENSUS2010POP
5252,CENSUS2010POP
111860,CENSUS2010POP
22721,CENSUS2010POP
57999,CENSUS2010POP
52334,CENSUS2010POP
47168,CENSUS2010POP
41207,CENSUS2010POP
23788,CENSUS2010POP
11604,CENSUS2010POP
15625,CENSUS2010POP
15313,CENSUS2010POP
1328361,CENSUS2010POP
107702,CENSUS2010POP
71870,CENSUS2010POP
281674,CENSUS2010POP
30768,CENSUS2010POP
54418,CENSUS2010POP
122151,CENSUS2010POP
39736,CENSUS2010POP
34457,CENSUS2010POP
57833,CENSUS2010POP
153923,CENSUS2010POP
17535,CENSUS2010POP
35293,CENSUS2010POP
52228,CENSUS2010POP
38786,CENSUS2010POP
32856,CENSUS2010POP
197131,CENSUS2010POP
5773552,CENSUS2010POP
75087,CENSUS2010POP
537656,CENSUS2010POP
805029,CENSUS2010POP
88737,CENSUS2010POP
33066,CENSUS2010POP
167134,CENSUS2010POP
101108,CENSUS2010POP
146551,CENSUS2010POP
32618,CENSUS2010POP
233385,CENSUS2010POP
30097,CENSUS2010POP
244826,CENSUS2010POP
287085,CENSUS2010POP
20197,CENSUS2010POP
971777,CENSUS2010POP
863420,CENSUS2010POP
47798,CENSUS2010POP
105151,CENSUS2010POP
26470,CENSUS2010POP
37782,CENSUS2010POP
147430,CENSUS2010POP
98733,CENSUS2010POP
51454,CENSUS2010POP
620961,CENSUS2010POP
6547629,CENSUS2010POP
215888,CENSUS2010POP
131219,CENSUS2010POP
548285,CENSUS2010POP
16535,CENSUS2010POP
743159,CENSUS2010POP
71372,CENSUS2010POP
463490,CENSUS2010POP
158080,CENSUS2010POP
1503085,CENSUS2010POP
10172,CENSUS2010POP
670850,CENSUS2010POP
494919,CENSUS2010POP
722023,CENSUS2010POP
798552,CENSUS2010POP
9883640,CENSUS2010POP
10942,CENSUS2010POP
9601,CENSUS2010POP
111408,CENSUS2010POP
29598,CENSUS2010POP
23580,CENSUS2010POP
15899,CENSUS2010POP
8860,CENSUS2010POP
59173,CENSUS2010POP
107771,CENSUS2010POP
17525,CENSUS2010POP
156813,CENSUS2010POP
45248,CENSUS2010POP
136146,CENSUS2010POP
52293,CENSUS2010POP
25949,CENSUS2010POP
26152,CENSUS2010POP
38520,CENSUS2010POP
30926,CENSUS2010POP
75382,CENSUS2010POP
14074,CENSUS2010POP
37069,CENSUS2010POP
26168,CENSUS2010POP
107759,CENSUS2010POP
32694,CENSUS2010POP
425790,CENSUS2010POP
25692,CENSUS2010POP
16427,CENSUS2010POP
86986,CENSUS2010POP
42476,CENSUS2010POP
46688,CENSUS2010POP
36628,CENSUS2010POP
33118,CENSUS2010POP
280895,CENSUS2010POP
63905,CENSUS2010POP
25887,CENSUS2010POP
11817,CENSUS2010POP
70311,CENSUS2010POP
160248,CENSUS2010POP
250331,CENSUS2010POP
17153,CENSUS2010POP
602622,CENSUS2010POP
2156,CENSUS2010POP
11539,CENSUS2010POP
88319,CENSUS2010POP
21708,CENSUS2010POP
99892,CENSUS2010POP
180967,CENSUS2010POP
6631,CENSUS2010POP
11113,CENSUS2010POP
840978,CENSUS2010POP
24733,CENSUS2010POP
67077,CENSUS2010POP
28705,CENSUS2010POP
42798,CENSUS2010POP
24029,CENSUS2010POP
83629,CENSUS2010POP
14849,CENSUS2010POP
152021,CENSUS2010POP
63342,CENSUS2010POP
9765,CENSUS2010POP
172188,CENSUS2010POP
48460,CENSUS2010POP
1202362,CENSUS2010POP
26570,CENSUS2010POP
21699,CENSUS2010POP
6780,CENSUS2010POP
23528,CENSUS2010POP
8640,CENSUS2010POP
24164,CENSUS2010POP
263801,CENSUS2010POP
13376,CENSUS2010POP
24449,CENSUS2010POP
200169,CENSUS2010POP
163040,CENSUS2010POP
61295,CENSUS2010POP
43114,CENSUS2010POP
8485,CENSUS2010POP
70648,CENSUS2010POP
55729,CENSUS2010POP
76258,CENSUS2010POP
344791,CENSUS2010POP
1820584,CENSUS2010POP
32735,CENSUS2010POP
5303925,CENSUS2010POP
16202,CENSUS2010POP
330844,CENSUS2010POP
32504,CENSUS2010POP
44442,CENSUS2010POP
38451,CENSUS2010POP
5269,CENSUS2010POP
64013,CENSUS2010POP
25893,CENSUS2010POP
35386,CENSUS2010POP
91042,CENSUS2010POP
28567,CENSUS2010POP
12441,CENSUS2010POP
53887,CENSUS2010POP
58999,CENSUS2010POP
8695,CENSUS2010POP
5176,CENSUS2010POP
11687,CENSUS2010POP
62500,CENSUS2010POP
398552,CENSUS2010POP
20087,CENSUS2010POP
36009,CENSUS2010POP
14553,CENSUS2010POP
20866,CENSUS2010POP
31255,CENSUS2010POP
46183,CENSUS2010POP
6018,CENSUS2010POP
1152425,CENSUS2010POP
19027,CENSUS2010POP
20428,CENSUS2010POP
37816,CENSUS2010POP
45058,CENSUS2010POP
10266,CENSUS2010POP
16239,CENSUS2010POP
42239,CENSUS2010POP
4552,CENSUS2010POP
13311,CENSUS2010POP
7259,CENSUS2010POP
10866,CENSUS2010POP
4045,CENSUS2010POP
27703,CENSUS2010POP
5896,CENSUS2010POP
25857,CENSUS2010POP
36651,CENSUS2010POP
5413,CENSUS2010POP
9439,CENSUS2010POP
20840,CENSUS2010POP
23300,CENSUS2010POP
26097,CENSUS2010POP
33198,CENSUS2010POP
39163,CENSUS2010POP
8725,CENSUS2010POP
32727,CENSUS2010POP
21378,CENSUS2010POP
6852,CENSUS2010POP
144248,CENSUS2010POP
57303,CENSUS2010POP
13930,CENSUS2010POP
29750,CENSUS2010POP
9596,CENSUS2010POP
31600,CENSUS2010POP
10995,CENSUS2010POP
508640,CENSUS2010POP
4089,CENSUS2010POP
16059,CENSUS2010POP
15730,CENSUS2010POP
64142,CENSUS2010POP
9687,CENSUS2010POP
15629,CENSUS2010POP
200226,CENSUS2010POP
129928,CENSUS2010POP
88499,CENSUS2010POP
15226,CENSUS2010POP
150642,CENSUS2010POP
36576,CENSUS2010POP
9726,CENSUS2010POP
9783,CENSUS2010POP
24895,CENSUS2010POP
3558,CENSUS2010POP
21676,CENSUS2010POP
13843,CENSUS2010POP
19136,CENSUS2010POP
238136,CENSUS2010POP
11211,CENSUS2010POP
6576,CENSUS2010POP
51461,CENSUS2010POP
124700,CENSUS2010POP
10438,CENSUS2010POP
2967297,CENSUS2010POP
32297,CENSUS2010POP
37057,CENSUS2010POP
13131,CENSUS2010POP
19564,CENSUS2010POP
8729,CENSUS2010POP
34145,CENSUS2010POP
14962,CENSUS2010POP
10597,CENSUS2010POP
17392,CENSUS2010POP
8547,CENSUS2010POP
9604,CENSUS2010POP
16732,CENSUS2010POP
20634,CENSUS2010POP
26151,CENSUS2010POP
29449,CENSUS2010POP
19568,CENSUS2010POP
161252,CENSUS2010POP
74934,CENSUS2010POP
8118,CENSUS2010POP
22578,CENSUS2010POP
14400,CENSUS2010POP
21906,CENSUS2010POP
43929,CENSUS2010POP
187105,CENSUS2010POP
245285,CENSUS2010POP
19198,CENSUS2010POP
9375,CENSUS2010POP
1406,CENSUS2010POP
23401,CENSUS2010POP
139668,CENSUS2010POP
17062,CENSUS2010POP
7726,CENSUS2010POP
12487,CENSUS2010POP
67761,CENSUS2010POP
10456,CENSUS2010POP
47351,CENSUS2010POP
55658,CENSUS2010POP
80261,CENSUS2010POP
12929,CENSUS2010POP
23805,CENSUS2010POP
82910,CENSUS2010POP
32317,CENSUS2010POP
34869,CENSUS2010POP
59779,CENSUS2010POP
95203,CENSUS2010POP
27088,CENSUS2010POP
37144,CENSUS2010POP
36989,CENSUS2010POP
10925,CENSUS2010POP
29676,CENSUS2010POP
21720,CENSUS2010POP
11545,CENSUS2010POP
47671,CENSUS2010POP
34707,CENSUS2010POP
55834,CENSUS2010POP
12250,CENSUS2010POP
40404,CENSUS2010POP
29957,CENSUS2010POP
25276,CENSUS2010POP
8223,CENSUS2010POP
141617,CENSUS2010POP
28264,CENSUS2010POP
4916,CENSUS2010POP
27503,CENSUS2010POP
16491,CENSUS2010POP
17786,CENSUS2010POP
29450,CENSUS2010POP
15378,CENSUS2010POP
28886,CENSUS2010POP
22232,CENSUS2010POP
19593,CENSUS2010POP
10778,CENSUS2010POP
27134,CENSUS2010POP
15443,CENSUS2010POP
48773,CENSUS2010POP
51137,CENSUS2010POP
20747,CENSUS2010POP
10253,CENSUS2010POP
9878,CENSUS2010POP
19198,CENSUS2010POP
12678,CENSUS2010POP
28065,CENSUS2010POP
5988927,CENSUS2010POP
25607,CENSUS2010POP
17291,CENSUS2010POP
5685,CENSUS2010POP
25529,CENSUS2010POP
35597,CENSUS2010POP
12402,CENSUS2010POP
17049,CENSUS2010POP
19056,CENSUS2010POP
12363,CENSUS2010POP
162642,CENSUS2010POP
89201,CENSUS2010POP
42794,CENSUS2010POP
9424,CENSUS2010POP
44332,CENSUS2010POP
44002,CENSUS2010POP
75674,CENSUS2010POP
9295,CENSUS2010POP
6265,CENSUS2010POP
99478,CENSUS2010POP
13982,CENSUS2010POP
7831,CENSUS2010POP
77422,CENSUS2010POP
7139,CENSUS2010POP
221939,CENSUS2010POP
20743,CENSUS2010POP
75990,CENSUS2010POP
17601,CENSUS2010POP
24696,CENSUS2010POP
7883,CENSUS2010POP
16777,CENSUS2010POP
8433,CENSUS2010POP
12892,CENSUS2010POP
15657,CENSUS2010POP
13684,CENSUS2010POP
31953,CENSUS2010POP
101492,CENSUS2010POP
15222,CENSUS2010POP
6738,CENSUS2010POP
275174,CENSUS2010POP
10261,CENSUS2010POP
8957,CENSUS2010POP
22272,CENSUS2010POP
9627,CENSUS2010POP
4912,CENSUS2010POP
10144,CENSUS2010POP
40400,CENSUS2010POP
10630,CENSUS2010POP
674158,CENSUS2010POP
117404,CENSUS2010POP
218733,CENSUS2010POP
52595,CENSUS2010POP
4131,CENSUS2010POP
35571,CENSUS2010POP
33381,CENSUS2010POP
38634,CENSUS2010POP
10211,CENSUS2010POP
52566,CENSUS2010POP
12761,CENSUS2010POP
15195,CENSUS2010POP
23083,CENSUS2010POP
15566,CENSUS2010POP
12226,CENSUS2010POP
9176,CENSUS2010POP
28781,CENSUS2010POP
3785,CENSUS2010POP
24748,CENSUS2010POP
14358,CENSUS2010POP
15607,CENSUS2010POP
8840,CENSUS2010POP
12236,CENSUS2010POP
20565,CENSUS2010POP
18956,CENSUS2010POP
58114,CENSUS2010POP
23370,CENSUS2010POP
10881,CENSUS2010POP
13878,CENSUS2010POP
9723,CENSUS2010POP
18296,CENSUS2010POP
18971,CENSUS2010POP
42201,CENSUS2010POP
45156,CENSUS2010POP
18516,CENSUS2010POP
89322,CENSUS2010POP
31137,CENSUS2010POP
52274,CENSUS2010POP
4979,CENSUS2010POP
10167,CENSUS2010POP
25414,CENSUS2010POP
23494,CENSUS2010POP
6696,CENSUS2010POP
14100,CENSUS2010POP
360485,CENSUS2010POP
9805,CENSUS2010POP
18145,CENSUS2010POP
65359,CENSUS2010POP
998954,CENSUS2010POP
23370,CENSUS2010POP
4431,CENSUS2010POP
4843,CENSUS2010POP
39191,CENSUS2010POP
8441,CENSUS2010POP
6373,CENSUS2010POP
29968,CENSUS2010POP
32202,CENSUS2010POP
6714,CENSUS2010POP
51675,CENSUS2010POP
26008,CENSUS2010POP
21159,CENSUS2010POP
32513,CENSUS2010POP
25195,CENSUS2010POP
13521,CENSUS2010POP
36202,CENSUS2010POP
2171,CENSUS2010POP
18815,CENSUS2010POP
319294,CENSUS2010POP
989415,CENSUS2010POP
9246,CENSUS2010POP
12865,CENSUS2010POP
6491,CENSUS2010POP
5612,CENSUS2010POP
10078,CENSUS2010POP
1160,CENSUS2010POP
81327,CENSUS2010POP
5813,CENSUS2010POP
11699,CENSUS2010POP
1751,CENSUS2010POP
8966,CENSUS2010POP
9298,CENSUS2010POP
2890,CENSUS2010POP
11586,CENSUS2010POP
90928,CENSUS2010POP
89513,CENSUS2010POP
1206,CENSUS2010POP
13399,CENSUS2010POP
884,CENSUS2010POP
3079,CENSUS2010POP
16096,CENSUS2010POP
11406,CENSUS2010POP
2072,CENSUS2010POP
28746,CENSUS2010POP
63395,CENSUS2010POP
2339,CENSUS2010POP
19687,CENSUS2010POP
1734,CENSUS2010POP
7691,CENSUS2010POP
1891,CENSUS2010POP
4223,CENSUS2010POP
109299,CENSUS2010POP
4538,CENSUS2010POP
15636,CENSUS2010POP
494,CENSUS2010POP
4253,CENSUS2010POP
6153,CENSUS2010POP
1743,CENSUS2010POP
7027,CENSUS2010POP
1179,CENSUS2010POP
40212,CENSUS2010POP
9746,CENSUS2010POP
10425,CENSUS2010POP
9233,CENSUS2010POP
11413,CENSUS2010POP
3384,CENSUS2010POP
34200,CENSUS2010POP
9117,CENSUS2010POP
3651,CENSUS2010POP
6073,CENSUS2010POP
5324,CENSUS2010POP
718,CENSUS2010POP
7369,CENSUS2010POP
2168,CENSUS2010POP
1017,CENSUS2010POP
147972,CENSUS2010POP
1826341,CENSUS2010POP
31364,CENSUS2010POP
6685,CENSUS2010POP
460,CENSUS2010POP
690,CENSUS2010POP
478,CENSUS2010POP
5505,CENSUS2010POP
11308,CENSUS2010POP
2099,CENSUS2010POP
3145,CENSUS2010POP
46102,CENSUS2010POP
6858,CENSUS2010POP
8395,CENSUS2010POP
25241,CENSUS2010POP
8852,CENSUS2010POP
3966,CENSUS2010POP
5713,CENSUS2010POP
9998,CENSUS2010POP
6542,CENSUS2010POP
10515,CENSUS2010POP
9139,CENSUS2010POP
10939,CENSUS2010POP
21006,CENSUS2010POP
9182,CENSUS2010POP
24326,CENSUS2010POP
1941,CENSUS2010POP
6000,CENSUS2010POP
36691,CENSUS2010POP
517110,CENSUS2010POP
2008,CENSUS2010POP
5890,CENSUS2010POP
3225,CENSUS2010POP
2756,CENSUS2010POP
4959,CENSUS2010POP
22311,CENSUS2010POP
2057,CENSUS2010POP
2049,CENSUS2010POP
2044,CENSUS2010POP
614,CENSUS2010POP
2538,CENSUS2010POP
58607,CENSUS2010POP
9124,CENSUS2010POP
3423,CENSUS2010POP
967,CENSUS2010POP
2908,CENSUS2010POP
10435,CENSUS2010POP
736,CENSUS2010POP
6274,CENSUS2010POP
7547,CENSUS2010POP
5217,CENSUS2010POP
6489,CENSUS2010POP
8368,CENSUS2010POP
824,CENSUS2010POP
3821,CENSUS2010POP
8701,CENSUS2010POP
285407,CENSUS2010POP
36288,CENSUS2010POP
763,CENSUS2010POP
632,CENSUS2010POP
539,CENSUS2010POP
34876,CENSUS2010POP
7845,CENSUS2010POP
5042,CENSUS2010POP
3735,CENSUS2010POP
7248,CENSUS2010POP
4500,CENSUS2010POP
15740,CENSUS2010POP
2773,CENSUS2010POP
2970,CENSUS2010POP
9188,CENSUS2010POP
7266,CENSUS2010POP
32237,CENSUS2010POP
5406,CENSUS2010POP
11055,CENSUS2010POP
8363,CENSUS2010POP
1526,CENSUS2010POP
14200,CENSUS2010POP
158840,CENSUS2010POP
20780,CENSUS2010POP
36970,CENSUS2010POP
16750,CENSUS2010POP
5469,CENSUS2010POP
3152,CENSUS2010POP
1311,CENSUS2010POP
6129,CENSUS2010POP
5228,CENSUS2010POP
647,CENSUS2010POP
6940,CENSUS2010POP
4260,CENSUS2010POP
20234,CENSUS2010POP
9595,CENSUS2010POP
3812,CENSUS2010POP
818,CENSUS2010POP
13665,CENSUS2010POP
2700551,CENSUS2010POP
24877,CENSUS2010POP
1951269,CENSUS2010POP
46997,CENSUS2010POP
48818,CENSUS2010POP
783,CENSUS2010POP
1987,CENSUS2010POP
16528,CENSUS2010POP
5775,CENSUS2010POP
5345,CENSUS2010POP
51980,CENSUS2010POP
4772,CENSUS2010POP
43946,CENSUS2010POP
6753,CENSUS2010POP
4010,CENSUS2010POP
421407,CENSUS2010POP
10030,CENSUS2010POP
55274,CENSUS2010POP
1316470,CENSUS2010POP
60088,CENSUS2010POP
47818,CENSUS2010POP
77117,CENSUS2010POP
33055,CENSUS2010POP
89118,CENSUS2010POP
400721,CENSUS2010POP
146445,CENSUS2010POP
295223,CENSUS2010POP
123143,CENSUS2010POP
43742,CENSUS2010POP
8791894,CENSUS2010POP
274549,CENSUS2010POP
905116,CENSUS2010POP
448734,CENSUS2010POP
513657,CENSUS2010POP
97265,CENSUS2010POP
156898,CENSUS2010POP
783969,CENSUS2010POP
288288,CENSUS2010POP
634266,CENSUS2010POP
128349,CENSUS2010POP
366513,CENSUS2010POP
809858,CENSUS2010POP
630380,CENSUS2010POP
492276,CENSUS2010POP
576567,CENSUS2010POP
501226,CENSUS2010POP
66083,CENSUS2010POP
323444,CENSUS2010POP
149265,CENSUS2010POP
536499,CENSUS2010POP
108692,CENSUS2010POP
2059179,CENSUS2010POP
662564,CENSUS2010POP
3725,CENSUS2010POP
65645,CENSUS2010POP
27213,CENSUS2010POP
13750,CENSUS2010POP
48376,CENSUS2010POP
2022,CENSUS2010POP
209233,CENSUS2010POP
53829,CENSUS2010POP
29514,CENSUS2010POP
4687,CENSUS2010POP
695,CENSUS2010POP
4894,CENSUS2010POP
64727,CENSUS2010POP
20497,CENSUS2010POP
17950,CENSUS2010POP
25095,CENSUS2010POP
71492,CENSUS2010POP
4881,CENSUS2010POP
63797,CENSUS2010POP
9041,CENSUS2010POP
40246,CENSUS2010POP
19846,CENSUS2010POP
131561,CENSUS2010POP
130044,CENSUS2010POP
29393,CENSUS2010POP
144170,CENSUS2010POP
11988,CENSUS2010POP
17866,CENSUS2010POP
32937,CENSUS2010POP
16383,CENSUS2010POP
4549,CENSUS2010POP
76569,CENSUS2010POP
19378102,CENSUS2010POP
304204,CENSUS2010POP
48946,CENSUS2010POP
1385108,CENSUS2010POP
200600,CENSUS2010POP
80317,CENSUS2010POP
80026,CENSUS2010POP
134905,CENSUS2010POP
88830,CENSUS2010POP
50477,CENSUS2010POP
82128,CENSUS2010POP
63096,CENSUS2010POP
49336,CENSUS2010POP
47980,CENSUS2010POP
297488,CENSUS2010POP
919040,CENSUS2010POP
39370,CENSUS2010POP
51599,CENSUS2010POP
55531,CENSUS2010POP
60079,CENSUS2010POP
49221,CENSUS2010POP
4836,CENSUS2010POP
64519,CENSUS2010POP
116229,CENSUS2010POP
2504700,CENSUS2010POP
27087,CENSUS2010POP
65393,CENSUS2010POP
73442,CENSUS2010POP
744344,CENSUS2010POP
50219,CENSUS2010POP
1339532,CENSUS2010POP
1585873,CENSUS2010POP
216469,CENSUS2010POP
234878,CENSUS2010POP
467026,CENSUS2010POP
107931,CENSUS2010POP
372813,CENSUS2010POP
42883,CENSUS2010POP
122109,CENSUS2010POP
62259,CENSUS2010POP
99710,CENSUS2010POP
2230722,CENSUS2010POP
159429,CENSUS2010POP
468730,CENSUS2010POP
311687,CENSUS2010POP
111944,CENSUS2010POP
219607,CENSUS2010POP
154727,CENSUS2010POP
32749,CENSUS2010POP
18343,CENSUS2010POP
35251,CENSUS2010POP
98990,CENSUS2010POP
1493350,CENSUS2010POP
77547,CENSUS2010POP
51125,CENSUS2010POP
101564,CENSUS2010POP
182493,CENSUS2010POP
65707,CENSUS2010POP
63216,CENSUS2010POP
93772,CENSUS2010POP
949113,CENSUS2010POP
42155,CENSUS2010POP
25348,CENSUS2010POP
9535483,CENSUS2010POP
151131,CENSUS2010POP
37198,CENSUS2010POP
11155,CENSUS2010POP
26948,CENSUS2010POP
27281,CENSUS2010POP
17797,CENSUS2010POP
47759,CENSUS2010POP
21282,CENSUS2010POP
35190,CENSUS2010POP
107431,CENSUS2010POP
238318,CENSUS2010POP
90912,CENSUS2010POP
178011,CENSUS2010POP
83029,CENSUS2010POP
9980,CENSUS2010POP
66469,CENSUS2010POP
23719,CENSUS2010POP
154358,CENSUS2010POP
63505,CENSUS2010POP
27444,CENSUS2010POP
14793,CENSUS2010POP
10587,CENSUS2010POP
98078,CENSUS2010POP
58098,CENSUS2010POP
103505,CENSUS2010POP
319431,CENSUS2010POP
23547,CENSUS2010POP
33920,CENSUS2010POP
162878,CENSUS2010POP
41240,CENSUS2010POP
58505,CENSUS2010POP
267587,CENSUS2010POP
56552,CENSUS2010POP
350670,CENSUS2010POP
60619,CENSUS2010POP
206086,CENSUS2010POP
12197,CENSUS2010POP
8861,CENSUS2010POP
59916,CENSUS2010POP
21362,CENSUS2010POP
488406,CENSUS2010POP
54691,CENSUS2010POP
114678,CENSUS2010POP
59036,CENSUS2010POP
106740,CENSUS2010POP
24669,CENSUS2010POP
46952,CENSUS2010POP
5810,CENSUS2010POP
159437,CENSUS2010POP
40271,CENSUS2010POP
168878,CENSUS2010POP
10153,CENSUS2010POP
57866,CENSUS2010POP
59495,CENSUS2010POP
78265,CENSUS2010POP
44996,CENSUS2010POP
33922,CENSUS2010POP
20764,CENSUS2010POP
24505,CENSUS2010POP
919628,CENSUS2010POP
15579,CENSUS2010POP
27798,CENSUS2010POP
88247,CENSUS2010POP
95840,CENSUS2010POP
202667,CENSUS2010POP
22099,CENSUS2010POP
177772,CENSUS2010POP
133801,CENSUS2010POP
13144,CENSUS2010POP
40661,CENSUS2010POP
52217,CENSUS2010POP
13453,CENSUS2010POP
39464,CENSUS2010POP
168148,CENSUS2010POP
20510,CENSUS2010POP
141752,CENSUS2010POP
46639,CENSUS2010POP
134168,CENSUS2010POP
93643,CENSUS2010POP
138428,CENSUS2010POP
67810,CENSUS2010POP
63431,CENSUS2010POP
36157,CENSUS2010POP
60585,CENSUS2010POP
47401,CENSUS2010POP
73673,CENSUS2010POP
13981,CENSUS2010POP
33090,CENSUS2010POP
4407,CENSUS2010POP
201292,CENSUS2010POP
45422,CENSUS2010POP
900993,CENSUS2010POP
20972,CENSUS2010POP
13228,CENSUS2010POP
51079,CENSUS2010POP
122623,CENSUS2010POP
69340,CENSUS2010POP
81234,CENSUS2010POP
38406,CENSUS2010POP
17818,CENSUS2010POP
672591,CENSUS2010POP
2343,CENSUS2010POP
11066,CENSUS2010POP
6660,CENSUS2010POP
783,CENSUS2010POP
6429,CENSUS2010POP
3151,CENSUS2010POP
1968,CENSUS2010POP
81308,CENSUS2010POP
149778,CENSUS2010POP
3993,CENSUS2010POP
5289,CENSUS2010POP
2071,CENSUS2010POP
3536,CENSUS2010POP
2385,CENSUS2010POP
3550,CENSUS2010POP
3343,CENSUS2010POP
1680,CENSUS2010POP
66861,CENSUS2010POP
2394,CENSUS2010POP
2420,CENSUS2010POP
2477,CENSUS2010POP
2435,CENSUS2010POP
4139,CENSUS2010POP
1990,CENSUS2010POP
5395,CENSUS2010POP
2809,CENSUS2010POP
6360,CENSUS2010POP
8962,CENSUS2010POP
8424,CENSUS2010POP
27471,CENSUS2010POP
7673,CENSUS2010POP
3126,CENSUS2010POP
1846,CENSUS2010POP
7413,CENSUS2010POP
4357,CENSUS2010POP
11451,CENSUS2010POP
5457,CENSUS2010POP
2470,CENSUS2010POP
16321,CENSUS2010POP
13937,CENSUS2010POP
3829,CENSUS2010POP
1321,CENSUS2010POP
4153,CENSUS2010POP
727,CENSUS2010POP
24199,CENSUS2010POP
1975,CENSUS2010POP
21100,CENSUS2010POP
2246,CENSUS2010POP
8121,CENSUS2010POP
11119,CENSUS2010POP
61675,CENSUS2010POP
4207,CENSUS2010POP
22398,CENSUS2010POP
11536504,CENSUS2010POP
28550,CENSUS2010POP
106331,CENSUS2010POP
53139,CENSUS2010POP
101497,CENSUS2010POP
64757,CENSUS2010POP
45949,CENSUS2010POP
70400,CENSUS2010POP
44846,CENSUS2010POP
368130,CENSUS2010POP
28836,CENSUS2010POP
40097,CENSUS2010POP
138333,CENSUS2010POP
197363,CENSUS2010POP
42040,CENSUS2010POP
107841,CENSUS2010POP
36901,CENSUS2010POP
43784,CENSUS2010POP
1280122,CENSUS2010POP
52959,CENSUS2010POP
39037,CENSUS2010POP
174214,CENSUS2010POP
77079,CENSUS2010POP
146156,CENSUS2010POP
29030,CENSUS2010POP
1163414,CENSUS2010POP
42698,CENSUS2010POP
30934,CENSUS2010POP
93389,CENSUS2010POP
161573,CENSUS2010POP
40087,CENSUS2010POP
802374,CENSUS2010POP
74782,CENSUS2010POP
32058,CENSUS2010POP
15864,CENSUS2010POP
28215,CENSUS2010POP
43589,CENSUS2010POP
29380,CENSUS2010POP
42366,CENSUS2010POP
59626,CENSUS2010POP
33225,CENSUS2010POP
69709,CENSUS2010POP
60921,CENSUS2010POP
230041,CENSUS2010POP
62450,CENSUS2010POP
166492,CENSUS2010POP
45858,CENSUS2010POP
301356,CENSUS2010POP
441815,CENSUS2010POP
43435,CENSUS2010POP
238823,CENSUS2010POP
66501,CENSUS2010POP
172332,CENSUS2010POP
23770,CENSUS2010POP
40814,CENSUS2010POP
102506,CENSUS2010POP
14642,CENSUS2010POP
535153,CENSUS2010POP
15054,CENSUS2010POP
34827,CENSUS2010POP
86074,CENSUS2010POP
14645,CENSUS2010POP
41428,CENSUS2010POP
19614,CENSUS2010POP
36058,CENSUS2010POP
55698,CENSUS2010POP
28709,CENSUS2010POP
