CENSUS2010POP ,LOCATION
"21,676",".Phillips County, Arkansas"
"11,264",".Pike County, Arkansas"
"24,515",".Poinsett County, Arkansas"
"20,667",".Polk County, Arkansas"
"62,109",".Pope County, Arkansas"
"8,722",".Prairie County, Arkansas"
"383,538",".Pulaski County, Arkansas"
"17,955",".Randolph County, Arkansas"
"28,194",".St. Francis County, Arkansas"
"107,656",".Saline County, Arkansas"
"11,275",".Scott County, Arkansas"
"8,182",".Searcy County, Arkansas"
"125,737",".Sebastian County, Arkansas"
"17,151",".Sevier County, Arkansas"
"17,250",".Sharp County, Arkansas"
"12,389",".Stone County, Arkansas"
"41,573",".Union County, Arkansas"
"17,310",".Van Buren County, Arkansas"
"204,024",".Washington County, Arkansas"
"77,356",".White County, Arkansas"
"7,236",".Woodruff County, Arkansas"
"22,146",".Yell County, Arkansas"
"1,512,986",".Alameda County, California"
"1,161",".Alpine County, California"
"37,886",".Amador County, California"
"219,949",".Butte County, California"
"45,468",".Calaveras County, California"
"21,437",".Colusa County, California"
"1,052,540",".Contra Costa County, California"
"28,566",".Del Norte County, California"
"181,136",".El Dorado County, California"
"932,039",".Fresno County, California"
"28,127",".Glenn County, California"
"135,009",".Humboldt County, California"
"174,716",".Imperial County, California"
"18,511",".Inyo County, California"
"840,996",".Kern County, California"
"152,370",".Kings County, California"
"64,735",".Lake County, California"
"34,831",".Lassen County, California"
"9,823,246",".Los Angeles County, California"
"150,986",".Madera County, California"
"252,904",".Marin County, California"
"18,277",".Mariposa County, California"
"87,799",".Mendocino County, California"
"256,721",".Merced County, California"
"9,694",".Modoc County, California"
"14,257",".Mono County, California"
"416,373",".Monterey County, California"
"136,759",".Napa County, California"
"98,790",".Nevada County, California"
"3,015,171",".Orange County, California"
"350,021",".Placer County, California"
"19,914",".Plumas County, California"
"2,201,576",".Riverside County, California"
"1,421,383",".Sacramento County, California"
"55,516",".San Benito County, California"
"2,040,848",".San Bernardino County, California"
"3,103,212",".San Diego County, California"
"805,505",".San Francisco County, California"
"687,127",".San Joaquin County, California"
"269,802",".San Luis Obispo County, California"
"719,699",".San Mateo County, California"
"424,231",".Santa Barbara County, California"
"1,786,040",".Santa Clara County, California"
"263,147",".Santa Cruz County, California"
"177,274",".Shasta County, California"
"3,220",".Sierra County, California"
"44,938",".Siskiyou County, California"
"413,967",".Solano County, California"
"484,755",".Sonoma County, California"
"515,145",".Stanislaus County, California"
"94,751",".Sutter County, California"
"63,559",".Tehama County, California"
"13,755",".Trinity County, California"
"442,969",".Tulare County, California"
"55,190",".Tuolumne County, California"
"825,097",".Ventura County, California"
"201,073",".Yolo County, California"
"72,348",".Yuba County, California"
"443,691",".Adams County, Colorado"
"15,515",".Alamosa County, Colorado"
"574,747",".Arapahoe County, Colorado"
"12,046",".Archuleta County, Colorado"
"3,807",".Baca County, Colorado"
"6,500",".Bent County, Colorado"
"295,037",".Boulder County, Colorado"
"56,226",".Broomfield County, Colorado"
"17,808",".Chaffee County, Colorado"
"1,833",".Cheyenne County, Colorado"
"9,083",".Clear Creek County, Colorado"
"8,312",".Conejos County, Colorado"
"3,529",".Costilla County, Colorado"
"5,861",".Crowley County, Colorado"
"4,279",".Custer County, Colorado"
"30,860",".Delta County, Colorado"
"603,359",".Denver County, Colorado"
"2,069",".Dolores County, Colorado"
"286,977",".Douglas County, Colorado"
"52,099",".Eagle County, Colorado"
"23,142",".Elbert County, Colorado"
"627,031",".El Paso County, Colorado"
"46,837",".Fremont County, Colorado"
"56,072",".Garfield County, Colorado"
"5,471",".Gilpin County, Colorado"
"14,796",".Grand County, Colorado"
"15,291",".Gunnison County, Colorado"
844,".Hinsdale County, Colorado"
"6,681",".Huerfano County, Colorado"
"1,389",".Jackson County, Colorado"
"535,548",".Jefferson County, Colorado"
"1,404",".Kiowa County, Colorado"
"8,263",".Kit Carson County, Colorado"
"7,264",".Lake County, Colorado"
"51,411",".La Plata County, Colorado"
"300,441",".Larimer County, Colorado"
"15,422",".Las Animas County, Colorado"
"5,471",".Lincoln County, Colorado"
"22,750",".Logan County, Colorado"
"146,259",".Mesa County, Colorado"
704,".Mineral County, Colorado"
"13,794",".Moffat County, Colorado"
"25,576",".Montezuma County, Colorado"
"41,186",".Montrose County, Colorado"
"28,241",".Morgan County, Colorado"
"18,859",".Otero County, Colorado"
"4,456",".Ouray County, Colorado"
"16,279",".Park County, Colorado"
"4,469",".Phillips County, Colorado"
"17,154",".Pitkin County, Colorado"
"12,545",".Prowers County, Colorado"
"159,390",".Pueblo County, Colorado"
"6,623",".Rio Blanco County, Colorado"
"12,023",".Rio Grande County, Colorado"
"23,434",".Routt County, Colorado"
"6,136",".Saguache County, Colorado"
708,".San Juan County, Colorado"
"7,357",".San Miguel County, Colorado"
"2,371",".Sedgwick County, Colorado"
"28,073",".Summit County, Colorado"
"23,469",".Teller County, Colorado"
"4,821",".Washington County, Colorado"
"254,207",".Weld County, Colorado"
"10,049",".Yuma County, Colorado"
"919,355",".Fairfield County, Connecticut"
